"Alt","WY","Q.S77","Q.S79","Q.C43","mean.stg","TPLoad.kg.fit","TPLoad.kg.95LCI","TPLoad.kg.95UCI","TNLoad.kg.fit","TNLoad.kg.95LCI","TNLoad.kg.95UCI"
"SPLC",1970,1752963.39948659,3079253.76402131,1326290.36453473,15.5085833401655,414738.629258798,360168.003727073,469309.254790523,5154838.28978834,4792124.04189794,5517552.53767873
"SPLC",1971,278299.441244921,628556.622175206,350257.180930285,14.7344093189058,105805.918832798,53386.1412568708,158225.696408725,1311265.11413047,962846.894387314,1659683.33387363
"SPLC",1972,68496.3638286329,601961.816945908,533465.453117275,12.1191261688821,144194.324383192,112427.475142052,175961.173624332,1206323.8053839,995179.279953287,1417468.33081451
"SPLC",1973,57492.6290271409,503062.473799622,445569.844772482,11.7843952338044,128630.498152007,96314.9622824868,160946.034021527,1047144.12821113,832352.650673938,1261935.60574832
"SPLC",1974,98095.7731554632,662684.389471846,564588.616316383,11.7348885543254,155727.854810758,117976.415443679,193479.294177836,1292841.01057014,1041918.74601136,1543763.27512892
"SPLC",1975,206658.572023208,1040037.76152552,833379.189502317,13.2036480565855,206185.665774435,168078.442541108,244292.889007762,1907266.40861475,1653979.35757605,2160553.45965344
"SPLC",1976,68794.2960338041,596915.524339395,528121.228305591,12.2985035062375,141793.348036731,111996.408323709,171590.287749753,1202330.31962485,1004279.17998451,1400381.45926518
"SPLC",1977,70818.1556396093,571377.221842105,500559.066202495,12.5157740067362,134894.397987354,107466.644371956,162322.151602753,1167772.36238797,985468.477706487,1350076.24706946
"SPLC",1978,67217.4371806944,456314.737329296,389097.300148601,11.9691029803379,116965.934654072,86973.38167046,146958.487637685,979731.564794157,780380.243606913,1179082.8859814
"SPLC",1979,194908.261927542,872162.878056252,677254.616128711,14.3976313090447,165441.608931518,135895.537118972,194987.680744064,1674065.91865429,1477682.22117637,1870449.61613221
"SPLC",1980,541885.668636784,1215512.64207093,673626.97343415,15.2032728390955,187648.612555127,154154.543947206,221142.681163048,2233572.51422627,2010947.69023835,2456197.33821419
"SPLC",1981,175196.568627026,509204.611760314,334008.043133289,13.54795371911,103096.000665263,65496.9123020107,140695.089028515,1098720.9149853,848811.280925622,1348630.54904499
"SPLC",1982,61339.2571660825,235956.807785582,174617.550619499,10.082034376934,88977.0250365271,39761.8669166328,138192.183156421,602173.547475245,275055.452560127,929291.642390362
"SPLC",1983,1198321.29283679,2665394.56030414,1467073.26746735,14.2468900486835,405476.753916393,329369.184921478,481584.322911307,4468067.26646491,3962203.54623492,4973930.98669491
"SPLC",1984,553957.457584991,1365925.55652445,811968.098939458,14.8906666814427,218159.487367209,193067.677790909,243251.29694351,2458346.44504654,2291568.86553381,2625124.02455927
"SPLC",1985,303418.435603457,846894.368309287,543475.93270583,14.6456334478098,146438.220268183,110929.156998455,181947.283537912,1645492.87073908,1409474.99387446,1881510.7476037
"SPLC",1986,116198.392007583,659983.054262557,543784.662254974,12.8235684463383,144800.959544263,118898.11564483,170703.803443696,1312194.02403932,1140025.74757815,1484362.30050049
"SPLC",1987,106387.813308017,1006202.08592519,899814.272617172,13.5888359198767,207822.201602573,164330.373323055,251314.029882091,1858738.42343541,1569661.55048272,2147815.2963881
"SPLC",1988,191307.39474576,1056516.48517684,865209.090431081,13.8131554600688,206444.846414728,169861.190653601,243028.502175855,1944517.94271851,1701357.57841659,2187678.30702043
"SPLC",1989,195700.229237339,642878.889859957,447178.660622618,14.5459986636528,119306.561343509,77294.3155938476,161318.807093171,1325487.739618,1046245.19895084,1604730.28028516
"SPLC",1990,76629.3110113332,652268.870474152,575639.559462818,12.1462632392752,152927.881491568,119466.377078214,186389.385904923,1284432.12274271,1062023.74299058,1506840.50249483
"SPLC",1991,46268.5686734562,572639.866753254,526371.298079798,12.0090901021651,141786.061630114,108807.016366148,174765.106894081,1158026.82022588,938825.198794792,1377228.44165696
